Services,Packages
 Advisor,"azure-mgmt-advisor, "
 Agrifood,"azure-mgmt-agfood, azure-mgmt-agrifood, "
 AI,"azure-ai-generative, azure-ai-inference, azure-ai-resources, "
 AKS Developer Hub,"azure-mgmt-devhub, "
 Alerts Management,"azure-mgmt-alertsmanagement, "
 API Center,"azure-mgmt-apicenter, "
 API Management,"azure-mgmt-apimanagement, "
 App Compliance Automation,"azure-mgmt-appcomplianceautomation, "
 App Configuration,"azure-appconfiguration, azure-appconfiguration-provider, azure-mgmt-appconfiguration, "
 App Platform,"azure-mgmt-appplatform, "
 App Service,"azure-mgmt-web, "
 Application Insights,"azure-mgmt-applicationinsights, azure-applicationinsights, "
 Arc Data,"azure-mgmt-azurearcdata, "
 Astro,"azure-mgmt-astro, "
 Attestation,"azure-security-attestation, azure-mgmt-attestation, "
 Authorization,"azure-mgmt-authorization, "
 Auto Suggest,"azure-cognitiveservices-search-autosuggest, "
 Automanage,"azure-mgmt-automanage, "
 Automation,"azure-mgmt-automation, "
 Azure AD B2C,"azure-mgmt-azureadb2c, "
 Azure Remote Rendering,"azure-mixedreality-remoterendering, "
 Azure Stack,"azure-mgmt-azurestack, "
 Azure Stack HCI,"azure-mgmt-azurestackhci, "
 Azure VMware Solution,"azure-mgmt-avs, "
 BareMetal Infrastructure,"azure-mgmt-baremetalinfrastructure, "
 Batch,"azure-mgmt-batch, azure-batch, "
 Batch AI,"azure-mgmt-batchai, "
 Billing,"azure-mgmt-billing, "
 Billing Benefits,"azure-mgmt-billingbenefits, "
 Bot Service,"azure-mgmt-botservice, "
 Change Analysis,"azure-mgmt-changeanalysis, "
 Chaos,"azure-mgmt-chaos, "
 Cognitive Services,"azure-ai-anomalydetector, azure-ai-contentsafety, azure-ai-language-conversations, azure-ai-documentintelligence, azure-ai-translation-document, azure-ai-vision-face, azure-ai-formrecognizer, azure-healthinsights-cancerprofiling, azure-healthinsights-clinicalmatching, azure-healthinsights-radiologyinsights, azure-ai-vision-imageanalysis, azure-ai-personalizer, azure-ai-language-questionanswering, azure-ai-textanalytics, azure-ai-translation-text, azure-mgmt-cognitiveservices, azure-cognitiveservices-anomalydetector, azure-cognitiveservices-vision-computervision, azure-cognitiveservices-vision-contentmoderator, azure-cognitiveservices-language-luis, azure-cognitiveservices-vision-customvision, azure-cognitiveservices-formrecognizer, azure-cognitiveservices-inkrecognizer, azure-cognitiveservices-personalizer, azure-cognitiveservices-language-spellcheck, azure-cognitiveservices-language-textanalytics, "
 Commerce,"azure-mgmt-commerce, "
 Communication,"azure-communication-callautomation, azure-communication-chat, azure-communication-email, azure-communication-identity, azure-communication-jobrouter, azure-communication-messages, azure-communication-networktraversal, azure-communication-phonenumbers, azure-communication-rooms, azure-communication-sms, azure-mgmt-communication, azure-communication-administration, "
 Compute,"azure-mgmt-compute, "
 Computefleet,"azure-mgmt-computefleet, "
 Confidential Ledger,"azure-confidentialledger, azure-mgmt-confidentialledger, "
 Confluent,"azure-mgmt-confluent, "
 Connected VMware,"azure-mgmt-connectedvmware, "
 Consumption,"azure-mgmt-consumption, "
 Container Apps,"azure-mgmt-appcontainers, "
 Container Instances,"azure-mgmt-containerinstance, "
 Container Registry,"azure-containerregistry, azure-mgmt-containerregistry, "
 Container Service,"azure-mgmt-containerservice, "
 Container Service Fleet,"azure-mgmt-containerservicefleet, "
 Content Delivery Network,"azure-mgmt-cdn, "
 Core,"azure-core-tracing-opencensus, "
 Cosmos DB,"azure-cosmos, azure-mgmt-cosmosdb, "
 Cosmos DB for PostgreSQL,"azure-mgmt-cosmosdbforpostgresql, "
 Cost Management,"azure-mgmt-costmanagement, "
 Custom Image Search,"azure-cognitiveservices-search-customimagesearch, "
 Custom Providers,"azure-mgmt-customproviders, "
 Custom Search,"azure-cognitiveservices-search-customsearch, "
 Data Box,"azure-mgmt-databox, "
 Data Box Edge,"azure-mgmt-databoxedge, "
 Data Explorer,"azure-mgmt-kusto, "
 Data Factory,"azure-mgmt-datafactory, "
 Data Protection,"azure-mgmt-dataprotection, "
 Data Share,"azure-mgmt-datashare, "
 Database Migration Service,"azure-mgmt-datamigration, "
 Databricks,"azure-mgmt-databricks, "
 Datadog,"azure-mgmt-datadog, "
 Defender EASM,"azure-defender-easm, azure-mgmt-defendereasm, "
 Deployment Manager,"azure-mgmt-deploymentmanager, "
 Desktop Virtualization,"azure-mgmt-desktopvirtualization, "
 Dev Center,"azure-developer-devcenter, azure-mgmt-devcenter, "
 Dev Spaces,"azure-mgmt-devspaces, "
 Device Registry,"azure-mgmt-deviceregistry, "
 DevOps Infrastructure,"azure-mgmt-devopsinfrastructure, "
 DevTest Labs,"azure-mgmt-devtestlabs, "
 DNS,"azure-mgmt-dns, "
 DNS Resolver,"azure-mgmt-dnsresolver, "
 Dynatrace,"azure-mgmt-dynatrace, "
 Edge Order,"azure-mgmt-edgeorder, "
 Edgezones,"azure-mgmt-edgezones, "
 Education,"azure-mgmt-education, "
 Elastic,"azure-mgmt-elastic, "
 Elastic SAN,"azure-mgmt-elasticsan, "
 Entity Search,"azure-cognitiveservices-search-entitysearch, "
 Event Grid,"azure-eventgrid, azure-mgmt-eventgrid, "
 Event Hubs,"azure-eventhub-checkpointstoreblob, azure-eventhub-checkpointstoreblob-aio, azure-eventhub, azure-mgmt-eventhub, "
 Extended Location,"azure-mgmt-extendedlocation, "
 Face,"azure-cognitiveservices-vision-face, "
 FarmBeats,"azure-agrifood-farming, "
 Fluid Relay,"azure-mgmt-fluidrelay, "
 Front Door,"azure-mgmt-frontdoor, "
 Grafana,"azure-mgmt-dashboard, "
 Graph RBAC,"azure-graphrbac, "
 Graph Services,"azure-mgmt-graphservices, "
 Guest Configuration,"azure-mgmt-guestconfig, "
 HANA on Azure,"azure-mgmt-hanaonazure, "
 Hardware Security Modules,"azure-mgmt-hardwaresecuritymodules, "
 HDInsight,"azure-mgmt-hdinsight, "
 HDInsight Containers,"azure-mgmt-hdinsightcontainers, "
 Health Bot,"azure-mgmt-healthbot, "
 Health Deidentification,"azure-health-deidentification, "
 Healthcare APIs,"azure-mgmt-healthcareapis, "
 Hybrid Compute,"azure-mgmt-hybridcompute, "
 Hybrid Connectivity,"azure-mgmt-hybridconnectivity, "
 Hybrid Container Service,"azure-mgmt-hybridcontainerservice, "
 Hybrid Kubernetes,"azure-mgmt-hybridkubernetes, "
 Hybrid Network,"azure-mgmt-hybridnetwork, "
 Identity,"azure-identity, azure-identity-broker, "
 Image Builder,"azure-mgmt-imagebuilder, "
 Image Search,"azure-cognitiveservices-search-imagesearch, "
 Informatica Data Management,"azure-mgmt-informaticadatamanagement, "
 IoT,"azure-iot-deviceupdate, azure-digitaltwins-core, azure-mgmt-iothubprovisioningservices, azure-mgmt-deviceupdate, azure-mgmt-digitaltwins, azure-mgmt-iotcentral, azure-mgmt-iotfirmwaredefense, azure-mgmt-iothub, azure-mgmt-timeseriesinsights, azure-iot-deviceprovisioning, "
 Key Vault,"azure-keyvault-administration, azure-keyvault-certificates, azure-keyvault-keys, azure-keyvault-secrets, azure-mgmt-keyvault, "
 Kubernetes Configuration,"azure-mgmt-kubernetesconfiguration, "
 Lab Services,"azure-mgmt-labservices, "
 Large Instance,"azure-mgmt-largeinstance, "
 Load Testing,"azure-developer-loadtesting, azure-mgmt-loadtesting, "
 Log Analytics,"azure-mgmt-loganalytics, azure-loganalytics, "
 Logic Apps,"azure-mgmt-logic, "
 Logz,"azure-mgmt-logz, "
 Machine Learning,"azure-ai-ml, azure-mgmt-machinelearningcompute, azure-mgmt-machinelearningservices, "
 Maintenance,"azure-mgmt-maintenance, "
 Managed Applications,"azure-mgmt-managedapplications, "
 Managed Network Fabric,"azure-mgmt-managednetworkfabric, "
 Managed Service Identity,"azure-mgmt-msi, "
 Managed Services,"azure-mgmt-managedservices, "
 Management Groups,"azure-mgmt-managementgroups, "
 Management Partner,"azure-mgmt-managementpartner, "
 Maps,"azure-maps-geolocation, azure-maps-render, azure-maps-route, azure-maps-search, azure-mgmt-maps, "
 Marketplace Ordering,"azure-mgmt-marketplaceordering, "
 Media,"azure-media-analytics-edge, "
 Media Services,"azure-mgmt-media, "
 Metrics Advisor,"azure-ai-metricsadvisor, "
 Migration,"azure-mgmt-migrationdiscoverysap, "
 Mixed Reality,"azure-mixedreality-authentication, azure-mgmt-mixedreality, "
 Mobile Network,"azure-mgmt-mobilenetwork, "
 Mongocluster,"azure-mgmt-mongocluster, "
 Monitor,"azure-monitor-opentelemetry, azure-monitor-ingestion, azure-monitor-query, azure-monitor-opentelemetry-exporter, azure-mgmt-monitor, azure-opentelemetry-exporter-azuremonitor, "
 NetApp Files,"azure-mgmt-netapp, "
 Network,"azure-mgmt-network, "
 Network Analytics,"azure-mgmt-networkanalytics, "
 Network Function,"azure-mgmt-networkfunction, "
 New Relic Observability,"azure-mgmt-newrelicobservability, "
 News Search,"azure-cognitiveservices-search-newssearch, "
 Nginx,"azure-mgmt-nginx, "
 Notification Hubs,"azure-mgmt-notificationhubs, "
 Oep,"azure-mgmt-oep, "
 Operations Management,"azure-mgmt-operationsmanagement, "
 Operator Nexus - Network Cloud,"azure-mgmt-networkcloud, "
 Oracle Database,"azure-mgmt-oracledatabase, "
 Orbital,"azure-mgmt-orbital, "
 Other,"azure-core, corehttp, azure-core-experimental, azure-core-tracing-opentelemetry, azure-mgmt-core, azure-common, "
 Palo Alto Networks,"azure-mgmt-paloaltonetworksngfw, "
 Peering,"azure-mgmt-peering, "
 Playwright Testing,"azure-mgmt-playwrighttesting, "
 Policy Insights,"azure-mgmt-policyinsights, "
 Portal,"azure-mgmt-portal, "
 PostgreSQL,"azure-mgmt-rdbms, "
 Power BI Dedicated,"azure-mgmt-powerbidedicated, "
 Private DNS,"azure-mgmt-privatedns, "
 Purview,"azure-purview-account, azure-purview-catalog, azure-purview-datamap, azure-purview-scanning, azure-purview-sharing, azure-purview-workflow, azure-mgmt-purview, "
 Quantum,"azure-mgmt-quantum, "
 Qumulo,"azure-mgmt-qumulo, "
 Quota,"azure-mgmt-quota, "
 Recovery Services,"azure-mgmt-recoveryservices, azure-mgmt-recoveryservicesbackup, azure-mgmt-recoveryservicesdatareplication, azure-mgmt-recoveryservicessiterecovery, "
 Red Hat OpenShift (ARO),"azure-mgmt-redhatopenshift, "
 Redis,"azure-mgmt-redis, azure-mgmt-redisenterprise, "
 Region Move,"azure-mgmt-regionmove, "
 Relay,"azure-mgmt-relay, "
 Reservations,"azure-mgmt-reservations, "
 Resource Connector,"azure-mgmt-resourceconnector, "
 Resource Graph,"azure-mgmt-resourcegraph, "
 Resource Health,"azure-mgmt-resourcehealth, "
 Resource Mover,"azure-mgmt-resourcemover, "
 Resources,"azure-mgmt-resource, "
 Scheduler,"azure-mgmt-scheduler, "
 Schema Registry,"azure-schemaregistry, azure-schemaregistry-avroencoder, "
 Scvmm,"azure-mgmt-scvmm, "
 Search,"azure-search-documents, azure-mgmt-search, "
 Security,"azure-mgmt-security, "
 Security DevOps,"azure-mgmt-securitydevops, "
 Security Insights,"azure-mgmt-securityinsight, "
 Self Help,"azure-mgmt-selfhelp, "
 Serial Console,"azure-mgmt-serialconsole, "
 Server Management,"azure-mgmt-servermanager, "
 Service Bus,"azure-servicebus, azure-mgmt-servicebus, "
 Service Fabric,"azure-mgmt-servicefabric, azure-mgmt-servicefabricmanagedclusters, azure-servicefabric, "
 Service Linker,"azure-mgmt-servicelinker, "
 Service Networking,"azure-mgmt-servicenetworking, "
 SignalR,"azure-mgmt-signalr, "
 Sphere,"azure-mgmt-sphere, "
 Spring App Discovery,"azure-mgmt-springappdiscovery, "
 SQL,"azure-mgmt-sql, "
 SQL Virtual Machine,"azure-mgmt-sqlvirtualmachine, "
 Stack Edge,"azure-mgmt-edgegateway, "
 Standby Pool,"azure-mgmt-standbypool, "
 Storage,"azure-storage-blob, azure-storage-blob-changefeed, azure-storage-file-datalake, azure-storage-file-share, azure-storage-queue, azure-mgmt-datalake-analytics, azure-mgmt-datalake-store, azure-mgmt-storage, azure-mgmt-storageactions, azure-mgmt-storagecache, azure-mgmt-storageimportexport, azure-mgmt-storagemover, azure-mgmt-storagepool, azure-mgmt-storagesync, "
 Stream Analytics,"azure-mgmt-streamanalytics, "
 Subscriptions,"azure-mgmt-subscription, "
 Support,"azure-mgmt-support, "
 Synapse,"azure-synapse-managedprivateendpoints, azure-synapse-spark, azure-synapse-accesscontrol, azure-synapse-monitoring, azure-mgmt-synapse, azure-synapse, "
 Synapse Analytics,"azure-synapse-artifacts, "
 Tables,"azure-data-tables, "
 Test Base,"azure-mgmt-testbase, "
 Traffic Manager,"azure-mgmt-trafficmanager, "
 unknown,"azure-iot-modelsrepository, azure-messaging-webpubsubclient, azure-purview-administration, "
 Video Analyzer,"azure-media-videoanalyzer-edge, "
 Video Search,"azure-cognitiveservices-search-videosearch, "
 Visual Search,"azure-cognitiveservices-search-visualsearch, "
 VMware Solution by CloudSimple,"azure-mgmt-vmwarecloudsimple, "
 Voice Services,"azure-mgmt-voiceservices, "
 Web PubSub,"azure-messaging-webpubsubservice, azure-mgmt-webpubsub, "
 Web Search,"azure-cognitiveservices-search-websearch, "
 Workload Monitor,"azure-mgmt-workloadmonitor, "
 Workloads,"azure-mgmt-workloads, azure-mgmt-workloadssapvirtualinstance, "
